,k,b,c
0,-1.0,-1.0,-1.0
1,13178.536591544784,0.00708948998995109,1.1930851483418259
2,14364.854635898184,0.014100152569710759,0.7613014342149946
3,-1.0,-1.0,-1.0
4,14585.329313453443,0.007176018755955019,6.22919049003776
5,12178.174485585565,0.009545103171489997,2.95949734813249
6,11499.180868678008,0.005819871749836944,3.0360796493267546
7,13098.320015699268,0.02030573672371902,2.4374983746164944
8,11665.03632685167,0.024539567275367786,5.615946458993127
9,13076.121559760631,0.021056736672158936,1.7034575078112244
10,11898.918848429907,0.012449127682293466,1.6178726984620386
11,-1.0,-1.0,-1.0
12,13675.40242423501,0.002424294541666508,0.8160384283951286
13,10161.8890749897,0.0059092657356651845,4.7758825345281055
14,13787.152063826226,0.006086879520146186,3.115956266553563
15,13657.886078940479,0.020609564538647585,1.7171712454922106
16,11790.69200671959,0.011593144677394258,4.383783135215988
17,13160.398151355035,0.011991067276818083,2.0010865773339055
18,12774.314574491396,0.008527090384195605,5.295202811371556
19,11961.970148457594,0.009096687334075334,4.7375503972329875
20,10613.027091498798,0.01596915236548539,5.014602290038515
21,14522.96122767347,0.018096898455726897,4.102483658234637
22,11561.90949850445,0.0022336264144879993,1.4832031424300418
23,10116.793330891724,0.010851383763822118,2.5980830762586957
24,12857.80255298166,0.0118097575391584,0.25948550348379107
25,11122.402186826681,0.023030280158333485,2.151889742169427
26,11344.983148403764,0.005423845303757263,2.0007705584504256
27,12030.763698945766,0.005334403376161781,3.862064599608659
28,12234.708724739738,0.011014353217057564,1.8190614808900643
29,13931.892550276709,0.02065890125726368,1.7462538172502287
30,-1.0,-1.0,-1.0
31,-1.0,-1.0,-1.0
32,-1.0,-1.0,-1.0
33,11133.42055138655,0.007072177725616022,5.485943596345466
34,12088.312330579436,0.022765696978821144,2.9909896055630423
35,13428.547057754004,0.024050629632748663,2.6763023412370406
36,10132.56860511681,0.008844806357533092,2.0986300215852394
37,-1.0,-1.0,-1.0
38,12014.643705791796,0.015736268800107388,1.6695987576761602
39,13609.8608269594,0.023367741182489188,3.37210142625019
40,10490.821749863411,0.006164458564206149,2.355494558619734
41,10605.56867685568,0.015578951783171821,4.441837161235351
42,10977.128214328206,0.0020418811454124635,3.8989454487536785
43,-1.0,-1.0,-1.0
44,10756.215316591653,0.013558680959187039,5.610475551692219
45,11944.346684172717,0.00882952480167874,2.9867507159763034
46,13587.230016151108,0.006510607085477147,4.986920843866124
47,-1.0,-1.0,-1.0
48,13050.816557509277,0.009331273667796616,4.238894167702487
49,12825.123548296937,0.006049885185974333,3.4839343715295077
50,13221.841552138958,0.020337418888031672,1.9448587072987265
51,-1.0,-1.0,-1.0
52,10585.441645409992,0.005429735987744444,2.987962283088387
53,14772.76472728379,0.01746139088821507,0.9816543620183512
54,13245.242527188633,0.007285314572220239,5.5272786655265955
55,14972.163299748046,0.009949365714911491,1.2076698368293508
56,11994.495488782528,0.005266209356806073,4.898804718379576
57,-1.0,-1.0,-1.0
58,12363.699452021914,0.02251074215037552,2.02275236717693
59,-1.0,-1.0,-1.0
60,-1.0,-1.0,-1.0
61,-1.0,-1.0,-1.0
62,10744.59006317826,0.0168587973210859,2.734564224309358
63,12528.585927066611,0.01877542425954207,5.995408665952986
64,11629.814405406145,0.023428202612720432,2.0246005772761144
65,11523.679104305404,0.02402999441637452,3.784624644391792
66,14464.733528974033,0.01731204999517496,0.9845478532175014
67,-1.0,-1.0,-1.0
68,13364.164476697355,0.010389255115201255,2.92116988522207
69,12948.203855375887,0.00011388640344756896,1.6637579344957791
70,10655.580246538198,0.011524504901744254,2.1649729691055333
71,14378.195512106575,0.01093389616180405,2.05919763172882
72,12960.587604988728,0.0016632418701329533,5.911781153971184
73,-1.0,-1.0,-1.0
74,14016.3451619695,0.010892037100089581,1.6118369507454513
75,11484.22165917765,0.00684602904131415,4.066571638617586
76,13647.513902719893,0.003983217375528633,5.676288493095477
77,-1.0,-1.0,-1.0
78,12391.67278698222,0.02014950828272075,0.2802270691155631
79,-1.0,-1.0,-1.0
80,12590.616744073188,0.00019036975190262208,3.8029072357182034
81,12176.570953406394,0.0010031955472386861,4.653965045045742
82,10738.025195838512,0.004484874743222417,5.556995230375738
83,10944.625327958282,0.02142077013556721,3.163081622601862
84,11825.77172740395,0.017278250334883286,0.23009857923386137
85,14526.57567586109,0.009304250157387511,2.6275264947212453
86,12796.866136720557,0.015523364805579969,4.890533662223572
87,12521.222003764335,0.013555119931809193,0.07516153381370494
88,11515.930008370102,0.009281340973798671,1.727438350880043
89,-1.0,-1.0,-1.0
90,14611.443064276968,0.012191081938233657,2.0737234992938167
91,-1.0,-1.0,-1.0
92,12384.580933146815,0.001855391887212879,0.9711727223463855
93,12528.419730979633,0.006281243732454068,1.2623044604329388
94,11854.747874220448,0.011898559388937852,1.647034836953806
95,11667.751837983562,0.014515186926350421,2.776154416081734
96,12168.145310791673,0.0010593322975345765,4.200057076050794
97,11940.091671696307,0.01922294460767671,5.78129472051716
98,13730.338213756491,0.005123943764805231,4.055597037818534
99,11104.53240258741,0.01274096297665995,0.8020516525698508
100,10761.217538546189,0.004048814888013181,1.8146815438360107
101,14343.038309795487,0.003949986686069823,0.4177451248142668
102,12476.771019845466,0.024030078106968358,1.3851589020112858
103,14284.649490937807,0.01095814703005403,3.61086327142567
104,14397.895833875828,0.012289294583074274,1.0284851264363277
105,-1.0,-1.0,-1.0
106,-1.0,-1.0,-1.0
107,14141.690284272689,0.022373038336446358,4.12349675284119
108,12278.712398764816,0.0044971611398354015,1.5179994238757462
109,11000.11437986988,0.008398848301979645,2.825500423160046
110,14462.538887091385,0.01495978186793977,6.248209005411532
111,10495.615438144383,0.011678789271913551,3.343936996373526
112,13299.565095979251,0.0006124297141517909,4.534491417043579
113,12570.507918100811,0.0019914427213227975,2.6296588022716203
114,13755.192631863414,0.015086652132949692,0.4999339749240054
115,-1.0,-1.0,-1.0
116,-1.0,-1.0,-1.0
117,11403.946748364237,0.0017602826779992533,4.853111580826933
118,-1.0,-1.0,-1.0
119,-1.0,-1.0,-1.0
120,11277.945835470058,0.01215162472030067,1.6932890811369743
121,10985.408716893933,0.007648386781623154,5.754815155990803
122,-1.0,-1.0,-1.0
123,-1.0,-1.0,-1.0
124,13010.16762630386,0.023503517790525823,5.756254620611023
125,11206.60517862851,0.020141272108680077,5.392568528332512
126,-1.0,-1.0,-1.0
127,10692.749998736364,0.013343993536989618,3.5845694085687905
128,-1.0,-1.0,-1.0
129,12094.304200954117,0.010336334675993725,3.4489170187078093
130,13526.956250868934,0.01645488194439001,1.9751988614080789
131,11562.62403489114,0.02129547205238055,1.6536708628942995
132,12953.633414345388,0.014709738736293896,6.183751417652358
133,10286.912814582862,0.022722820814994407,1.6162081945033373
134,-1.0,-1.0,-1.0
135,-1.0,-1.0,-1.0
136,10822.524432697297,0.019422699581612694,2.1458410220739452
137,10704.522773286786,0.01505057274564661,2.0507151197456395
138,-1.0,-1.0,-1.0
139,-1.0,-1.0,-1.0
140,12283.335575224552,0.011756127085821733,1.594178606564939
141,11854.924179830712,0.002444767421224398,0.4420027424095381
142,-1.0,-1.0,-1.0
143,-1.0,-1.0,-1.0
